Token               Lexeme              
----------------------------------------
Keyword             while               
Separator           (                   
Keyword             true                
Separator           )                   
Separator           {                   
Keyword             int                 
Identifier          a                   
Operator            =                   
Integer             0                   
Separator           ;                   
Identifier          a                   
Operator            =                   
Integer             2                   
Operator            +                   
Integer             3                   
Separator           ;                   
Keyword             if                  
Separator           (                   
Keyword             true                
Separator           )                   
Separator           ;                   
Separator           {                   
Keyword             int                 
Identifier          ifelem              
Operator            =                   
Integer             1                   
Separator           ;                   
Separator           }                   
Separator           }                   
